hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
1.683073e-01,1.358107e-05,4.296451e-06,4.079698e-07,-1.834578e-13,1.263149e-09,-5.080175e-13,1
2.579316e-03,2.579316e-03,6.668161e-03,7.306453e-05,-8.162082e-09,-9.888265e-07,5.034177e-08,2
1.920509e-01,8.748207e-04,2.774185e-04,3.581377e-05,1.436769e-09,-1.051697e-06,-3.267889e-09,3
1.668247e-01,1.991834e-04,1.729599e-07,7.520797e-08,-1.166108e-15,-1.059061e-09,8.498021e-15,1
1.668304e-01,1.485399e-04,9.701270e-06,2.312871e-07,-3.354335e-13,-6.639238e-10,-8.667475e-14,1
1.671983e-01,2.994905e-04,2.467518e-06,1.135433e-07,1.811989e-14,-1.858586e-09,5.730309e-14,1
1.907502e-01,6.152329e-04,3.219345e-04,2.768211e-05,3.016174e-10,-6.539520e-07,-2.595796e-09,3
2.092999e-01,2.721713e-03,6.725916e-03,7.998225e-05,3.241751e-09,-2.889034e-07,5.857362e-08,2
2.096860e-01,2.838947e-03,6.763251e-03,8.489221e-05,3.149524e-09,-2.823728e-07,6.424780e-08,2
1.671174e-01,2.544158e-04,5.362480e-06,1.619857e-07,-1.494115e-13,-5.271282e-10,2.165443e-14,1
2.108880e-01,2.612925e-03,1.267870e-03,2.888310e-05,2.026832e-09,-1.140110e-06,-5.142141e-09,3
1.888901e-01,6.896229e-04,3.230084e-04,2.123916e-05,-6.403541e-10,-2.681581e-07,-1.638505e-09,3
1.968380e-01,3.889004e-03,3.762673e-03,8.925773e-05,2.224156e-08,2.914727e-06,4.670109e-08,2
1.685463e-01,2.831377e-05,1.949602e-05,5.103621e-07,-1.609175e-12,-1.468691e-09,-4.724688e-14,1
1.963283e-01,2.988854e-03,4.062123e-03,7.998495e-05,3.873116e-08,3.569599e-06,2.405266e-08,2
1.674883e-01,6.558596e-05,1.992580e-05,1.023771e-06,-2.636200e-12,-5.159229e-09,3.798853e-12,1
1.990180e-01,4.206378e-03,4.072595e-03,1.158494e-04,7.139299e-08,6.514426e-06,3.514557e-08,2
1.691449e-01,6.082732e-04,2.578569e-06,4.680280e-08,5.218067e-15,1.556470e-10,-1.539905e-14,1
2.076760e-01,2.624139e-03,1.308498e-04,1.419690e-04,1.654161e-08,5.104905e-06,1.003944e-08,3
2.041296e-01,2.610114e-03,7.665536e-05,9.038368e-05,5.620452e-09,3.745508e-06,5.001002e-09,3
2.023562e-01,1.986079e-03,6.513012e-05,9.753874e-05,6.809479e-09,3.760245e-06,3.750924e-09,3
2.032078e-01,2.578178e-03,8.191957e-05,9.817307e-05,8.043490e-09,4.327648e-06,3.579600e-09,3
1.984850e-01,1.282547e-04,5.595372e-03,1.439976e-05,3.848221e-09,1.009754e-07,-1.377697e-09,2
1.980764e-01,1.098353e-04,5.530969e-03,1.475408e-05,4.175104e-09,1.297524e-07,-5.765169e-10,2
1.997911e-01,6.168898e-04,5.704203e-03,4.735567e-05,5.187044e-09,5.530690e-08,2.405970e-08,2
